Group,Category,Code,Long Description,Short Description
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0425,"Ground mileage, per statute mile",Ground mileage
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0426,"Ambulance service, advanced life support, non-emergency transport, level 1 (als 1)",Als 1
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0427,"Ambulance service, advanced life support, emergency transport, level 1 (als 1 - emergency)",Als1-emergency
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0428,"Ambulance service, basic life support, non-emergency transport, (bls)",Bls
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0429,"Ambulance service, basic life support, emergency transport (bls-emergency)",Bls-emergency
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0430,"Ambulance service, conventional air services, transport, one way (fixed wing)",Fixed wing air transport
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0431,"Ambulance service, conventional air services, transport, one way (rotary wing)",Rotary wing air transport
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0432,"Paramedic intercept (pi), rural area, transport furnished by a volunteer ambulance company which is prohibited by state law from billing third party payers",Pi volunteer ambulance co
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0433,"Advanced life support, level 2 (als 2)",Als 2
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0434,Specialty care transport (sct),Specialty care transport
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0435,"Fixed wing air mileage, per statute mile",Fixed wing air mileage
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0436,"Rotary wing air mileage, per statute mile",Rotary wing air mileage
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0888,"Noncovered ambulance mileage, per mile (e.g., for miles traveled beyond closest appropriate facility)",Noncovered ambulance mileage
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0998,"Ambulance response and treatment, no transport",Ambulance response/treatment
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0999,Unlisted ambulance service,Unlisted ambulance service
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2001,"Innovamatrix ac, per square centimeter","Innovamatrix ac, per sq cm"
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2002,"Mirragen advanced wound matrix, per square centimeter",Mirragen adv wnd mat per sq
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2004,"Xcellistem, 1 mg","Xcellistem, 1 mg"
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2005,"Microlyte matrix, per square centimeter","Microlyte matrix, per sq cm"
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2006,"Novosorb synpath dermal matrix, per square centimeter",Novosorb synpath per sq cm
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2007,"Restrata, per square centimeter","Restrata, per sq cm"
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2008,"Theragenesis, per square centimeter","Theragenesis, per sq cm"
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2009,"Symphony, per square centimeter","Symphony, per sq cm"
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2010,"Apis, per square centimeter","Apis, per square centimeter"
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2011,"Supra sdrm, per square centimeter","Supra sdrm, per sq cm"
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2012,"Suprathel, per square centimeter","Suprathel, per sq cm"
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2013,"Innovamatrix fs, per square centimeter","Innovamatrix fs, per sq cm"
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2014,"Omeza collagen matrix, per 100 mg",Omeza collag per 100 mg
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2015,"Phoenix wound matrix, per square centimeter","Phoenix wnd mtrx, per sq cm"
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2016,"Permeaderm b, per square centimeter","Permeaderm b, per sq cm"
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2017,"Permeaderm glove, each","Permeaderm glove, each"
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2018,"Permeaderm c, per square centimeter","Permeaderm c, per sq cm"
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2019,"Kerecis omega3 marigen shield, per square centimeter",Kerecis marigen shld sq cm
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2020,Ac5 advanced wound system (ac5),Ac5 wound system
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2021,"Neomatrix, per square centimeter",Neomatrix per sq cm
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2022,"Innovaburn or innovamatrix xl, per square centimeter",Innovabrn/innovamatx xl sqcm
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2023,"Innovamatrix pd, 1 mg","Innovamatrix pd, 1 mg"
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2024,"Resolve matrix or xenopatch, per square centimeter",Resolve or xenopatch sq cm
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2025,"Miro3d, per cubic centimeter",Miro3d per cubic cm
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2026,"Restrata minimatrix, 5 mg","Restrata minimatrix, 5 mg"
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2027,"Matriderm, per square centimeter",Matriderm per sq cm
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2028,"Micromatrix flex, per mg",Micromatrix flex per mg
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2029,"Mirotract wound matrix sheet, per cubic centimeter",Mirotract matrix sheet
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2030,"Miro3d fibers, per milligram","Miro3d fibers, per mg"
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2031,"Mirodry wound matrix, per square centimeter","Mirodry, per sq cm"
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2032,"Myriad matrix, per square centimeter","Myriad matrix, per sq cm"
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2033,"Myriad morcells, 4 milligrams","Myriad morcells, 4 mg"
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2034,"Foundation drs solo, per square centimeter","Found drs solo, per sq cm"
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2035,"Corplex p or theracor p or allacor p, per milligram",Corpl p therac p allac p mg
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4100,"Skin substitute, fda cleared as a device, not otherwise specified",Skin sub fda clrd as dev nos
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4206,"Syringe with needle, sterile, 1 cc or less, each",1 cc sterile syringe&needle
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4207,"Syringe with needle, sterile 2 cc, each",2 cc sterile syringe&needle
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4208,"Syringe with needle, sterile 3 cc, each",3 cc sterile syringe&needle
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4209,"Syringe with needle, sterile 5 cc or greater, each",5+ cc sterile syringe&needle
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4210,"Needle-free injection device, each",Nonneedle injection device
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4211,Supplies for self-administered injections,Supp for self-adm injections
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4212,Non-coring needle or stylet with or without catheter,Non coring needle or stylet
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4213,"Syringe, sterile, 20 cc or greater, each",20+ cc syringe only
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4215,"Needle, sterile, any size, each",Sterile needle
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4216,"Sterile water, saline and/or dextrose, diluent/flush, 10 ml","Sterile water/saline, 10 ml"
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4217,"Sterile water/saline, 500 ml","Sterile water/saline, 500 ml"
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4218,"Sterile saline or water, metered dose dispenser, 10 ml",Sterile saline or water
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4220,Refill kit for implantable infusion pump,Infusion pump refill kit
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4221,"Supplies for maintenance of non-insulin drug infusion catheter, per week (list drugs  separately)",Supp non-insulin inf cath/wk
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4222,"Infusion supplies for external drug infusion pump, per cassette or bag (list drugs separately)",Infusion supplies with pump
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4223,"Infusion supplies not used with external infusion pump, per cassette or bag (list drugs separately)",Infusion supplies w/o pump
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4224,"Supplies for maintenance of insulin infusion catheter, per week",Supply insulin inf cath/wk
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4225,"Supplies for external insulin infusion pump, syringe type cartridge, sterile, each",Sup/ext insulin inf pump syr
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4226,"Supplies for maintenance of insulin infusion pump with dosage rate adjustment using therapeutic continuous glucose sensing, per week",Weekly supply maint cgs pump
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4230,"Infusion set for external insulin pump, non needle cannula type",Infus insulin pump non needl
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4231,"Infusion set for external insulin pump, needle type",Infusion insulin pump needle
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4232,"Syringe with needle for external insulin pump, sterile, 3 cc",Syringe w/needle insulin 3cc
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4233,"Replacement battery, alkaline (other than j cell), for use with medically necessary home blood glucose monitor owned by patient, each",Alkalin batt for glucose mon
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4234,"Replacement battery, alkaline, j cell, for use with medically necessary home blood glucose monitor owned by patient, each",J-cell batt for glucose mon
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4235,"Replacement battery, lithium, for use with medically necessary home blood glucose monitor owned by patient, each",Lithium batt for glucose mon
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4236,"Replacement battery, silver oxide, for use with medically necessary home blood glucose monitor owned by patient, each",Silvr oxide batt glucose mon
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4238,"Supply allowance for adjunctive, non-implanted continuous glucose monitor (cgm), includes all supplies and accessories, 1 month supply = 1 unit of service",Adju cgm supply allowance
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4239,"Supply allowance for non-adjunctive, non-implanted continuous glucose monitor (cgm), includes all supplies and accessories, 1 month supply = 1 unit of service",Non-adju cgm supply allow
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4244,"Alcohol or peroxide, per pint",Alcohol or peroxide per pint
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4245,"Alcohol wipes, per box",Alcohol wipes per box
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4246,"Betadine or phisohex solution, per pint",Betadine/phisohex solution
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4247,"Betadine or iodine swabs/wipes, per box",Betadine/iodine swabs/wipes
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4248,"Chlorhexidine containing antiseptic, 1 ml",Chlorhexidine antisept
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4250,Urine test or reagent strips or tablets (100 tablets or strips),Urine reagent strips/tablets
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4252,"Blood ketone test or reagent strip, each",Blood ketone test or strip
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4253,"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips",Blood glucose/reagent strips
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4255,"Platforms for home blood glucose monitor, 50 per box",Glucose monitor platforms
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4256,"Normal, low and high calibrator solution / chips",Calibrator solution/chips
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4257,"Replacement lens shield cartridge for use with laser skin piercing device, each",Replace lensshield cartridge
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4258,"Spring-powered device for lancet, each",Lancet device each
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4259,"Lancets, per box of 100",Lancets per box
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4261,Cervical cap for contraceptive use,Cervical cap contraceptive
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4262,"Temporary, absorbable lacrimal duct implant, each",Temporary tear duct plug
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4263,"Permanent, long term, non-dissolvable lacrimal duct implant, each",Permanent tear duct plug
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4264,Permanent implantable contraceptive intratubal occlusion device(s) and delivery system,Intratubal occlusion device
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4265,"Paraffin, per pound",Paraffin
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4266,Diaphragm for contraceptive use,Diaphragm
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4267,"Contraceptive supply, condom, male, each",Male condom
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4268,"Contraceptive supply, condom, female, each",Female condom
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4269,"Contraceptive supply, spermicide (e.g., foam, gel), each",Spermicide
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4270,"Disposable endoscope sheath, each",Disposable endoscope sheath
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4271,"Integrated lancing and blood sample testing cartridges for home blood glucose monitor, per 50 tests",Home lancing/test cartridges
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4280,"Adhesive skin support attachment for use with external breast prosthesis, each",Brst prsths adhsv attchmnt
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4281,"Tubing for breast pump, replacement",Replacement breastpump tube
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4282,"Adapter for breast pump, replacement",Replacement breastpump adpt
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4283,"Cap for breast pump bottle, replacement",Replacement breastpump cap
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4284,"Breast shield and splash protector for use with breast pump, replacement",Replcmnt breast pump shield
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4285,"Polycarbonate bottle for use with breast pump, replacement",Replcmnt breast pump bottle
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4286,"Locking ring for breast pump, replacement",Replcmnt breastpump lok ring
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4287,"Disposable collection and storage bag for breast milk, any size, any type, each",Disp col sto bag breast milk
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4290,"Sacral nerve stimulation test lead, each",Sacral nerve stim test lead
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4300,"Implantable access catheter, (e.g., venous, arterial, epidural subarachnoid, or peritoneal, etc.) external access",Cath impl vasc access portal
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4301,"Implantable access total catheter, port/reservoir (e.g., venous, arterial, epidural, subarachnoid, peritoneal, etc.)",Implantable access syst perc
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4305,"Disposable drug delivery system, flow rate of 50 ml or greater per hour",Drug delivery system >=50 ml
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4306,"Disposable drug delivery system, flow rate of less than 50 ml per hour",Drug delivery system <=50 ml
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4310,Insertion tray without drainage bag and without catheter (accessories only),Insert tray w/o bag/cath
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4311,"Insertion tray without drainage bag with indwelling catheter, foley type, two-way latex with coating (teflon, silicone, silicone elastomer or hydrophilic, etc.)",Catheter w/o bag 2-way latex
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4312,"Insertion tray without drainage bag with indwelling catheter, foley type, two-way, all silicone",Cath w/o bag 2-way silicone
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4313,"Insertion tray without drainage bag with indwelling catheter, foley type, three-way, for continuous irrigation",Catheter w/bag 3-way
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4314,"Insertion tray with drainage bag with indwelling catheter, foley type, two-way latex with coating (teflon, silicone, silicone elastomer or hydrophilic, etc.)",Cath w/drainage 2-way latex
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4315,"Insertion tray with drainage bag with indwelling catheter, foley type, two-way, all silicone",Cath w/drainage 2-way silcne
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4316,"Insertion tray with drainage bag with indwelling catheter, foley type, three-way, for continuous irrigation",Cath w/drainage 3-way
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4320,"Irrigation tray with bulb or piston syringe, any purpose",Irrigation tray
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4321,Therapeutic agent for urinary catheter irrigation,Cath therapeutic irrig agent
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4322,"Irrigation syringe, bulb or piston, each",Irrigation syringe
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4326,"Male external catheter with integral collection chamber, any type, each",Male external catheter
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4327,"Female external urinary collection device; meatal cup, each",Fem urinary collect dev cup
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4328,"Female external urinary collection device; pouch, each",Fem urinary collect pouch
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4330,"Perianal fecal collection pouch with adhesive, each",Stool collection pouch
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4331,"Extension drainage tubing, any type, any length, with connector/adaptor, for use with urinary leg bag or urostomy pouch, each",Extension drainage tubing
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4332,"Lubricant, individual sterile packet, each",Lube sterile packet
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4333,"Urinary catheter anchoring device, adhesive skin attachment, each",Urinary cath anchor device
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4334,"Urinary catheter anchoring device, leg strap, each",Urinary cath leg strap
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4335,Incontinence supply; miscellaneous,Incontinence supply
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4336,"Incontinence supply, urethral insert, any type, each",Urethral insert
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4337,"Incontinence supply, rectal insert, any type, each",Incontinent rectal insert
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4338,"Indwelling catheter; foley type, two-way latex with coating (teflon, silicone, silicone elastomer, or hydrophilic, etc.), each",Indwelling catheter latex
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4340,"Indwelling catheter; specialty type, (e.g., coude, mushroom, wing, etc.), each",Indwelling catheter special
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4341,"Indwelling intraurethral drainage device with valve, patient inserted, replacement only, each",Iduc valve pat inst repl
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4342,"Accessories for patient inserted indwelling intraurethral drainage device with valve, replacement only, each",Iduc valve sply repl
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4344,"Indwelling catheter, foley type, two-way, all silicone or polyurethane, each",Cath indw foley 2 way silicn
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4346,"Indwelling catheter; foley type, three way for continuous irrigation, each",Cath indw foley 3 way
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4349,"Male external catheter, with or without adhesive, disposable, each",Disposable male external cat
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4351,"Intermittent urinary catheter; straight tip, with or without coating (teflon, silicone, silicone elastomer, or hydrophilic, etc.), each",Straight tip urine catheter
